,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Model,Parameters,Accuracy,Precision,Recall,F1 Score,AUC,Best params
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.824327329,0.02833226,0.382608696,0.052757794,0.606328562,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,GBM,,0.938881664,0.111111111,0.416666667,0.175438596,0.681913254,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}"
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,QDA,"{'resample': TomekLinks(sampling_strategy='majority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 3, 'qda__reg_param': 2.3299518105153814}"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.959687906,0.164705882,0.388888889,0.231404959,0.678812564,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.049032688,0.013042475,0.982608696,0.025743251,0.509774896,"{'imputer__n_neighbors': 3, 'lr__C': 1, 'lr__penalty': 'l1', 'smote__sampling_strategy': 'not minority'}"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,GBM,,0.972691808,0.2,0.25,0.222222222,0.617073976,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 7}"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.967645097,0.123931624,0.252173913,0.166189112,0.614542864,"{'imputer__n_neighbors': 7, 'qda__reg_param': 0.02976351441631313}"
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.959687906,0.164705882,0.388888889,0.231404959,0.678812564,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.414276184,0.014142938,0.652173913,0.027685493,0.531684434,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.921109666,0.10326087,0.527777778,0.172727273,0.72756128,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.968201023,0.12987013,0.260869565,0.173410405,0.61911594,"{'imputer__n_neighbors': 7, 'qda__reg_param': 0.02976351441631313}"
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,,,ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': AdaBoostClassifier()}",0.956653663,0.166666667,0.444444444,0.242424242,0.704608836,"{'classifier__algorithm': 'SAMME.R', 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 7}"
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.059928841,0.013191688,0.982608696,0.026033867,0.515293536,"{'imputer__n_neighbors': 7, 'lr__C': 0.001, 'lr__penalty': 'l1'}"
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.967056784,0.1875,0.333333333,0.24,0.655217966,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.954080498,0.101604278,0.330434783,0.155419223,0.646296342,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.02976351441631313}"
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,,ADA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': AdaBoostClassifier()}",0.973125271,0.229166667,0.305555556,0.261904762,0.644631587,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 300, 'imputer__n_neighbors': 5}"
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=1000, random_state=42, solver='saga')}",0.123637981,0.013894104,0.965217391,0.02739388,0.538977656,"{'imputer__n_neighbors': 3, 'lr__C': 0.001, 'lr__penalty': 'l2', 'smote__sampling_strategy': 'not minority'}"
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.96532293,0.15625,0.277777778,0.2,0.626999853,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,,,,QDA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 3, 'qda__reg_param': 5.455594781168514}"
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,,,,,ADA,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42), 'classifier': AdaBoostClassifier()}",0.976159515,0.193548387,0.166666667,0.179104478,0.57782915,"{'classifier__algorithm': 'SAMME', 'classifier__learning_rate': 1, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 3, 'smote__sampling_strategy': 'minority'}"
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,GBM,"{'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.895101864,0.088,0.611111111,0.153846154,0.755357405,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}"
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,LR,"{'imputer': KNNImputer(), 'lr': LogisticRegression(random_state=42)}",0.987213698,0,0,0,0.5,{}
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,,,,,GBM,{'classifier': LGBMClassifier(random_state=42)},0.983528392,0.333333333,0.055555556,0.095238095,0.526897108,{}
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,ADA,{'classifier': AdaBoostClassifier()},0.983961855,0.454545455,0.138888889,0.212765957,0.56812344,{}
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,,,,,,LR,"{'imputer': KNNImputer(), 'lr': LogisticRegression(random_state=42)}",0.987213698,0,0,0,0.5,{}
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,,,,,,GBM,{'classifier': LGBMClassifier(random_state=42)},0.983961855,0.333333333,0.027777778,0.051282051,0.513448554,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300}"
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=2000, random_state=42, solver='saga')}",0.205025573,0.014224555,0.895652174,0.02800435,0.545866407,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.055481432,0.013130374,0.982608696,0.025914459,0.51304103,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.972258344,0.208333333,0.277777778,0.238095238,0.63052253,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.93818101,0.083175803,0.382608696,0.136645963,0.663992714,"{'imputer__n_neighbors': 3, 'qda__reg_param': 0.0030702906297578624}"
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.108405604,0.013899139,0.982608696,0.027410552,0.53984585,"{'imputer__n_neighbors': 5, 'lr__C': 1, 'lr__penalty': 'l1'}"
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.971391417,0.265625,0.472222222,0.34,0.725763247,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'imputer__n_neighbors': 5}"
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.136201912,0.014093448,0.965217391,0.027781254,0.545340985,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.162330443,0.014145383,0.939130435,0.027870968,0.545699917,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.024571937,0.012938794,1,0.02554704,0.505969141,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.064042695,0.013248915,0.982608696,0.026145303,0.517377104,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.166555481,0.0145995,0.965217391,0.028763928,0.560714338,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.930212397,0.111801242,0.5,0.182741117,0.718516072,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 7}"
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.931512787,0.108974359,0.472222222,0.177083333,0.705507853,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 7}"
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.934980494,0.12,0.5,0.193548387,0.720937913,"{'classifier__learning_rate': 0.002, 'classifier__max_depth': 5, 'classifier__n_estimators': 500, 'imputer__n_neighbors': 7}"
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.987213698,0,0,0,0.5,"{'imputer__n_neighbors': 5, 'qda__reg_param': 3.1622776601683795}"
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.969312875,0.139013453,0.269565217,0.183431953,0.62397058,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.045141205,0.012989999,0.982608696,0.025641026,0.507803954,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(random_state=42)}",0.977459905,0.233333333,0.194444444,0.212121212,0.592158374,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.969535246,0.133640553,0.252173913,0.174698795,0.615500179,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
45,45,45,45,45,45,45,45,45,45,45,45,45,45,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.019346231,0.012870733,1,0.025414365,0.503322446,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
46,46,46,46,46,46,46,46,46,46,46,46,46,46,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.949718249,0.142857143,0.444444444,0.216216216,0.701086159,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__num_leaves': 31, 'imputer__n_neighbors': 5}"
47,47,47,47,47,47,47,47,47,47,47,47,47,47,,,,,,,,,,,,,,,,,QDA,"{'imputer': KNNImputer(), 'ada': ADASYN(), 'qda': QuadraticDiscriminantAnalysis()}",0.968534579,0.128318584,0.252173913,0.170087977,0.614993365,"{'imputer__n_neighbors': 5, 'qda__reg_param': 0.03888155180308101}"
48,48,48,48,48,48,48,48,48,48,48,48,48,,,,,,,,,,,,,,,,,,LR,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='minority'), 'lr': LogisticRegression(class_weight={0: 0.5064681179707486, 1: 39.151119402985074},
                   max_iter=5000, random_state=42, solver='saga')}",0.034689793,0.013072638,1,0.025807899,0.511093592,"{'imputer__n_neighbors': 5, 'lr__C': 10, 'lr__penalty': 'l1'}"
49,49,49,49,49,49,49,49,49,49,49,49,49,,,,,,,,,,,,,,,,,,GBM,"{'imputer': KNNImputer(), 'smote': SMOTE(random_state=42, sampling_strategy='not minority'), 'classifier': LGBMClassifier(class_weight={0: 0.5079260237780714, 1: 32.041666666666664},
               random_state=42)}",0.946684005,0.115044248,0.361111111,0.174496644,0.658538823,"{'classifier__boosting_type': 'dart', 'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__num_leaves': 20, 'imputer__n_neighbors': 3}"
